country_code_3,country_name,year,v2x_partipdem,v2x_delibdem,v2x_cspart,v2xeg_eqaccess,v2x_libdem,transition_capacity_score
SOM,Somalia,2025,0.12095191989196626,0.21793895771333655,0.0004393358876117498,0.5015128980973383,0.14473833065592687,0.18174827089183782
LKA,Sri Lanka,2025,0.0005860320534053558,0.7162433386393521,0.8222222222222223,0.8040925175650033,0.6934181053012648,0.5682783805475741
SWZ,Eswatini,2025,6.369913623971259e-05,0.07375366230650332,0.3910600255427842,0.23380686189035335,0.10966807701880218,0.14818758630561596
TJK,Tajikistan,2025,0.0750885417993732,0.055297944494428666,0.15606641123882506,0.06251602646289553,0.04857795777993981,0.08047400145764079
TGO,Togo,2025,0.296761535913573,0.3321337116755484,0.6444444444444445,0.5958767116262372,0.17754598728420481,0.40212610562273554
TTO,Trinidad and Tobago,2025,0.6432848370576094,0.6943271737375134,0.9264367816091954,0.8471716498281964,0.7556395230445505,0.7601120349515318
TKM,Turkmenistan,2025,0.04196499095472265,0.03222829722933536,0.06615581098339719,0.14457151648802505,0.03839627124012942,0.05922465240191711
PSG,Palestine/Gaza,2025,0.09037633449690421,0.05183749740466467,0.00015325670498084296,0.7199856402892456,0.06554743534629048,0.15341407066171883
SML,Somaliland,2025,0.3413509312813718,0.34712898239785905,0.720051085568327,0.46356223396071594,0.3359277779034776,0.4360536973131021
UZB,Uzbekistan,2025,0.10439014446964098,0.17756707499942323,0.35121328224776505,0.3558644033027335,0.0893047039391814,0.2075073274031063
AUT,Austria,2025,0.7413815068667668,0.840819433870856,0.9029374201787995,0.8266577773219139,0.8563250899382311,0.8285851493091873
BHR,Bahrain,2025,0.06871862817540193,0.0,0.2500638569604087,0.15687983999179447,0.070072629363984,0.101235298839299
BRB,Barbados,2025,0.4419955665401177,0.8212102336955267,0.915197956577267,0.878968152212934,0.7680838065932077,0.7458988351952858
BEL,Belgium,2025,0.8063546258312736,0.8938796225805706,0.9673052362707536,0.9497410123596082,0.898183134601896,0.8957082314013375
BIH,Bosnia and Herzegovina,2025,0.37957041302519934,0.3794264885689897,0.6761174968071519,0.7189599466639315,0.38344231508925947,0.4903330640229563
BGR,Bulgaria,2025,0.5056947027798303,0.5466814312409162,0.8763729246487868,0.801015436689061,0.5644500757969998,0.6431884453078531
COM,Comoros,2025,0.00017835758147119525,0.14526956882829262,0.5565772669220945,0.8174265346940869,0.14926352467362036,0.29268094389201593
HRV,Croatia,2025,0.5846816317170739,0.5755184903222829,0.7088122605363985,0.7856300323093492,0.6707921352127972,0.6502758077454409
CUB,Cuba,2025,0.06871862817540193,0.11181858029390729,0.09578544061302684,0.8471716498281964,0.0644161368418671,0.2010295582404422
CYP,Cyprus,2025,0.0005478125716615282,0.7070154797333148,0.8446998722860792,0.0008308118365044361,0.751114329026857,0.45862256866296414
CZE,Czechia,2025,0.7159018523708818,0.8108288924262347,0.7936143039591316,0.8851223139648188,0.898183134601896,0.8079013642761127
DNK,Denmark,2025,0.000815348943868321,0.9999999999999998,0.9918263090676884,0.9938458382481153,1.0,0.747645974786722
GNQ,Equatorial Guinea,2025,0.05215685275307666,0.05183749740466467,0.1008939974457216,0.18149648699933332,0.05310315179763332,0.08136733284812465
EST,Estonia,2025,0.7910668331337426,0.8742704224052412,0.0006538952745849299,0.9282014462280117,0.9468289702921013,0.6977196554176799
FJI,Fiji,2025,0.33752898310698903,0.46824463053959897,0.8641123882503193,0.654341248269142,0.4501889268502387,0.5399454073296179
FIN,Finland,2025,0.7604912477386806,0.87888435185826,0.9683269476372925,0.9343556079798964,0.9140213136638233,0.8807658276732516
GRC,Greece,2025,0.6279970443600784,0.0006344152997900661,0.7680715197956578,0.9446125442330376,0.6425096726022128,0.5488405013993862
GUY,Guyana,2025,0.3604606721532856,0.28253397005559777,0.784418901660281,0.7712703215549516,0.3709980315406023,0.4889726938486101
HKG,Hong Kong,2025,0.06234871455143067,0.06567928576372066,0.00015325670498084296,0.6676752653982255,0.16057650971785414,0.15627541768719594
ISL,Iceland,2025,0.7197238005452645,0.8108288924262347,0.8927203065134101,0.96512641673932,0.0007466570129194289,0.7060631956083927
ISR,Israel,2025,0.5795857008178968,0.5893602786813389,0.8201787994891443,0.7661418534283809,0.6651356426906804,0.670963879190497
KWT,Kuwait,2025,0.06744464545060769,0.20294368699102588,0.48301404853129,0.273808913277604,0.1436070321515035,0.22681228463103253
