country_code_3,carbon_leakage_risk_score,leakage_index,carbon_intensity,Electricity_Access_Pct,PM25_Exposure_Micrograms,CO2_Per_Capita_Tonnes,EPI_Master_Score,Biodiversity_Habitat_Score,Public_Environmental_Priority_Avg,Trust_In_Government_Avg
BLR,6.1822301263832635,7.073286005576944,0.87402518737527,100.0,14.61,6.16,58.2,70.4,,
BLZ,4.102352422585096,27.675198070338453,0.148232088968566,99.6,28.65,1.91,47.4,57.8,,
BMU,0.4536551355087751,13.39613817064208,0.0338646205145129,100.0,7.34,8.51,,,,
BOL,1.279608430360568,1.7012864450694851,0.752141671421067,99.8,22.88,2.31,45.3,63.5,1.282,2.951
BRA,-0.6570345291674252,-2.7113734258797826,0.242325355443886,99.8,12.18,2.28,53.0,62.3,1.385,3.304
BRB,2.762897686880003,23.628750872295885,0.116929485685146,100.0,23.73,4.83,53.1,12.2,,
BRN,-17.490640266328203,-25.544626988881248,0.684709166978297,100.0,7.6,26.05,48.3,47.3,,
BTN,,,,100.0,23.95,2.09,43.3,65.7,,
BWA,5.147941417299111,13.045870669267009,0.394603131351474,76.0,18.91,2.96,49.2,85.6,,
CAF,2.430448482601036,14.973408460177264,0.162317650591378,17.6,34.43,0.07,39.0,71.5,,
CAN,0.0768110789021551,0.2437029392540018,0.315183227322909,100.0,6.57,13.42,61.1,52.9,1.388,2.587
CEB,0.5504042178810863,1.5633506269084818,0.352067033720713,100.0,15.74,,,,,
CHE,-0.3429086164565316,-8.245457189257158,0.0415875807230314,100.0,9.06,3.59,67.8,59.8,,
CHI,,,,100.0,,,,,,
CHL,-1.2186602174117105,-4.512407779534013,0.270068725379593,100.0,23.28,3.98,49.6,42.5,1.463,2.817
CHN,-3.7561094136329767,-5.2910340071407855,0.709900826296661,100.0,34.81,8.66,35.4,9.5,1.363,1.559
CIV,-0.9129121460603566,-3.712802042852574,0.2458822569918,72.4,49.5,0.46,42.9,56.2,,
CMR,1.0695432062765076,4.481092884232503,0.238679097690628,72.0,39.81,0.33,38.6,45.2,,
COD,-0.478220436525988,-4.664353434151853,0.102526629526938,22.1,26.65,0.05,39.5,52.0,,
COG,-13.35717593108119,-16.80026965396772,0.795057234568055,51.3,28.57,1.4,41.6,71.6,,
COK,,,,,,5.82,,,,
COL,0.9100091719352654,3.47420294949265,0.261933221853996,98.7,14.18,1.75,49.7,55.5,1.309,3.117
COM,7.792893042352013,21.213785266846216,0.367350425410927,89.8,11.93,0.64,38.2,49.0,,
CPV,18.069565019429504,62.40065808348216,0.289573308590036,98.6,42.32,1.13,38.0,19.2,,
CRI,0.5524435224371094,5.029867556134528,0.109832618110061,100.0,14.31,1.71,55.5,63.3,,
CSS,-1.2582537086261816,-2.875370786672067,0.437597027297643,99.17,24.86,,,,,
CUB,,,,100.0,21.24,2.23,52.5,42.8,,
CUW,,,,100.0,,12.34,,,,
CYM,,,,100.0,,,,,,
CYP,5.669960123404599,24.51488874012161,0.231286390222323,100.0,13.51,5.37,53.9,51.2,1.529,2.716
CZE,-3.035635824554503,-8.705161535399268,0.348716771332753,100.0,14.11,7.04,65.5,78.9,1.568,2.839
DEU,-0.8795060072187645,-5.57645795061333,0.157717679395759,100.0,10.29,6.77,74.5,82.4,1.38,2.622
DJI,2.146418640188589,9.225718215663376,0.232655993822184,65.2,35.92,0.48,32.3,17.5,,
DMA,4.695161212876126,33.82294433273479,0.138815863181137,100.0,20.67,2.58,49.3,27.7,,
