country_code_3,carbon_leakage_risk_score,leakage_index,carbon_intensity,Electricity_Access_Pct,PM25_Exposure_Micrograms,CO2_Per_Capita_Tonnes,EPI_Master_Score,Biodiversity_Habitat_Score,Public_Environmental_Priority_Avg,Trust_In_Government_Avg,score_distributional,score_spatial,score_institutional,score_scale
KWT,-24.09807592486792,-24.29673754709193,0.991823526848452,100.0,53.72,26.25,44.4,50.5,,2.667892307692308,0.6356137797185831,0.17631040500692075,0.340414197686457,0.5125818894090087
LAO,-5.400632836451245,-4.381039386728475,1.23272866544214,96.5,22.32,3.14,26.3,50.6,,2.667892307692308,0.037965724063012574,0.2138816530403458,0.11033161255035095,0.4245494860175357
LBN,2.027031470861436,,0.42193568597923525,100.0,19.23,2.7,39.9,23.6,1.628,3.09,0.06428918000970407,0.584913040861768,0.2046439765465804,0.14493776482582432
LBR,1.7750618805725102,7.6421052631578945,0.23227393754048,32.5,42.36,0.15,34.3,25.7,,2.667892307692308,0.7111046485983015,0.2707188851348447,0.022030640977230176,0.25367155432339905
LBY,-25.50245345111535,-22.651893008490543,1.12584204073171,73.2,32.97,8.84,,47.477777777777774,1.521,2.936,0.07005210016279384,0.11957275538246825,0.21568966244970145,0.6088878235146279
LCA,4.936587625441118,34.20864892981739,0.14430817292928,100.0,23.76,2.99,51.1,30.0,,2.667892307692308,0.07132459970887917,0.44962559856945117,0.01687371684934158,0.3444450956936296
LIE,2.027031470861436,,0.42193568597923525,100.0,24.339155555555553,3.3,,47.477777777777774,,2.667892307692308,0.07884522076661815,0.2271624393072308,0.018930013023171766,0.14493776482582432
LKA,1.5599295961006956,6.133593991280843,0.254325538716485,100.0,19.96,0.9,38.8,32.9,,2.667892307692308,0.020621057738961612,0.4612810460887731,0.024677965101894905,0.238021460838572
LMY,-0.7000188873221843,-1.070025977260675,0.654207376454795,90.49,35.52,4.587298578199053,,47.477777777777774,,2.667892307692308,0.009546630491374164,0.08778517123886309,0.05248790611262544,0.02557958059741572
LSO,16.41001800326084,37.99181607259553,0.431935603496928,57.3,23.44,1.1,36.9,59.1,,2.667892307692308,0.42590113586356093,0.09524024450003854,0.15806075024340516,0.3160320573524582
LTE,-3.14639552729985,-4.722717024336631,0.666225715215661,99.46,28.24,4.587298578199053,,47.477777777777774,,2.667892307692308,0.10436692647446077,0.17853560753903774,0.08259195076092007,0.0627702619825421
LTU,1.3947989963539624,5.930301075078781,0.235198681937988,100.0,9.22,4.39,64.1,74.9,,2.667892307692308,0.10528869480834546,0.07792149175972962,0.02670999028818044,0.24726762381153333
LUX,0.9656414645665649,9.526024076167154,0.101368782699434,100.0,8.67,10.46,75.1,84.8,,2.667892307692308,0.25254730713246,0.03714354490667904,0.03199101582078101,0.32089965767101924
LVA,1.5714279604511383,7.054102508613504,0.222767950782162,100.0,11.6,3.45,60.2,68.4,,2.667892307692308,0.08248423095584667,0.1283023409761087,0.024536471241901503,0.25677094756937524
MAC,1.1380534566800702,28.56134394615607,0.0398459350801395,100.0,24.339155555555553,1.47,,47.477777777777774,1.398,2.224,0.034449296458030076,0.2271624393072308,0.26498184010192805,0.35929835080221306
MAF,2.027031470861436,,0.42193568597923525,100.0,24.339155555555553,4.587298578199053,,47.477777777777774,,2.667892307692308,0.11007517171758985,0.2271624393072308,0.018930013023171766,0.14493776482582432
MAR,10.16416086080643,19.732437590905977,0.515099100857704,100.0,21.32,1.81,39.5,30.1,1.558,3.018,0.04269771955361479,0.47881042649954,0.26664035093123384,0.19013574433620206
MCO,2.027031470861436,,0.42193568597923525,100.0,9.58,4.587298578199053,,47.477777777777774,,2.667892307692308,0.11007517171758985,0.4111459291545949,0.018930013023171766,0.14493776482582432
MDA,26.85685361914666,30.274158293549096,0.887121397686204,100.0,14.76,1.76,46.1,53.3,,2.667892307692308,0.04148471615720528,0.2748712592095873,0.2866149559510315,0.1761850775577014
MDG,4.175071905238048,12.921324437184015,0.323114857577861,39.4,12.75,0.14,30.1,26.4,,2.667892307692308,0.6384085600598244,0.6312081431236514,0.007502836312491379,0.2296405071015719
MDV,14.1016539711307,46.651350910620195,0.302277505278426,100.0,12.01,4.37,38.1,12.0,1.566,2.964,0.10480349344978168,0.8177726768627653,0.28649173002695305,0.36407948453926375
