Year,Number,Name,any_item_aggregated,NorthSouth,NorthNorth,SouthSouth,polity2max,competition,epimax,so2popmin_ln
2004,626,Morocco Turkey,4,0,0,1,17.0,0.99498668316505,55.4158276000101,0.0196278943006687
2001,627,Morocco UAE,1,0,0,1,4.0,,54.818313699286,2.5264360322988204
2004,628,Morocco US,66,1,0,0,20.0,,55.4158276000101,0.0441762339370532
1992,630,Namibia Zimbabwe,0,0,0,1,16.0,,48.8435370135789,2.897019863569645
2000,631,New Zealand Singapore,16,1,0,0,20.0,0.997840172786177,58.8986466458519,2.867341714509572
2005,632,New Zealand Thailand,57,1,0,0,20.0,0.995510517903078,55.7934474880808,1.558632360545775
1973,633,Nicaragua Panama,0,0,0,1,3.0,1.0,,1.9022736957918691
2006,634,Nicaragua Taiwan,74,0,0,1,20.0,,53.173404836781,0.065481851843637
1986,635,Nicaragua Venezuela,1,0,0,1,19.0,0.0,,1.8358081178072152
1992,636,North American Free Trade Agreement (NAFTA),99,1,0,0,20.0,1.0,49.3131852166031,0.0305022391978687
2006,637,Oman US,75,1,0,0,20.0,,50.027643867864,0.0039856692994527
1981,638,Organisation of Eastern Caribbean States (OECS),2,0,0,1,,,,
2001,639,Pacific Island Countries Trade Agreement (PICTA ),4,0,0,1,15.0,0.0075671498821793,63.5490982269181,
2002,640,Pakistan Sri Lanka,2,0,0,1,16.0,0.729650945511623,51.7089838965857,1.9495660765063176
2006,641,Panama Singapore,23,0,0,1,19.0,0.9309623,59.9850855174769,
2003,642,Panama Taiwan,36,0,0,1,19.0,,53.0172272178279,2.3863828884328067
2007,643,Panama US,83,1,0,0,20.0,,50.5670245316029,
2008,644,Peru Singapore,19,0,0,1,19.0,0.0,59.9850855174769,
2006,645,Peru US,105,1,0,0,20.0,,50.1090485029873,
1999,646,Poland Turkey,5,0,0,1,19.0,0.989720998531571,55.3934643491399,0.0279616512195344
1971,647,Protocol on Trade Negotiations (PTN),0,0,0,1,19.0,1.0,,0.0019969302796317
2003,648,Romania Serbia,11,0,0,1,18.0,,37.2164719096425,0.1311123665875877
1994,649,Romania Slovakia,4,0,0,1,17.0,0.0,58.2607667950536,3.7101233679643046
1997,650,Romania Turkey,4,0,0,1,18.0,0.992445328031809,35.0957737414083,0.0293791182669117
1993,654,Russia Ukraine,4,0,0,1,15.0,,44.6768021768115,0.0508148189186872
1978,656,Saudi Arabia UAE,0,0,0,1,2.0,,,3.9989310578404935
2009,657,Serbia Turkey ,6,0,0,1,18.0,0.972572101236021,38.7261228703888,0.0029548994047377
2003,658,Singapore US,55,1,0,0,20.0,,59.9175855174769,0.0458858917785745
