country_code_3,exports,imports,gdp,leakage_index,carbon_intensity,carbon_leakage_risk_score
SWZ,2327000000.0,2072000000.0,4891883720.15742,-5.212715889980192,0.227817913902752,-1.1875500598230146
SYC,556000000.0,1446000000.0,2167239562.46013,41.06606465737093,0.436301801232175,17.9171979795279
TCA,4000000.0,451000000.0,1745378000.0,25.610498127053283,0.0861006771120877,2.2050812299171416
TCD,4500000000.0,2100000000.0,20625711664.6472,-11.635962138041705,0.167714948647899,-1.9515247924505614
TEA,5032413344454.13,4014367000000.0,22233410782170.8,-4.578903140090911,0.703420532363226,-3.2208944844423955
TEC,1552931782151.88,1647614985948.01,6097876994310.88,1.5527240691221955,0.771488301365446,1.1979084545763259
TGO,1632000000.0,3472000000.0,9925732119.72034,18.537675385620243,0.296603334918989,5.49833634102062
THA,300529000000.0,306810000000.0,526411265427.683,1.193173553171777,0.602338752481112,0.718694669510944
TJK,1947000000.0,7010000000.0,14204575548.5536,35.64344448515075,0.6164905160787,21.97384548547308
TKM,12371000000.0,3834000000.0,64239891739.3311,-13.289250291144548,1.31961059923157,-17.536635540035572
TLA,1455807000000.0,1464655000000.0,6977493595927.05,0.12680771223014545,0.306134374566614,0.038820199673798746
TLS,85000000.0,968000000.0,1881265333.4187,46.936494513263696,0.43450719252133,20.394244457751018
TMN,457863000000.0,529374000000.0,2139861115659.73,3.341852397647443,0.909091258301227,3.038048801234286
TSA,505225000000.0,822384000000.0,4514924632400.27,7.024679830178887,0.840772175532615,5.9061553432395835
TSS,437518226614.357,470730398105.438,1957702634760.35,1.6964870405431427,0.43915021867484,0.7450126548335533
TTO,7899000000.0,7669000000.0,26428963758.1307,-0.870257351384963,1.20037212763261,-1.044632668469888
TUN,19943000000.0,26027000000.0,53409988744.5968,11.391127657961706,0.654267449446608,7.452844039095318
TUR,261800000000.0,344013000000.0,1323254808058.74,6.212937939036041,0.349415705596575,2.1708980937960085
TZA,8702000000.0,14279000000.0,78779864877.3018,7.079220063002234,0.286534728022801,2.0284423953659014
UGA,7900000000.0,14200000000.0,53651874313.9836,11.742367029212984,0.167376362731904,1.9653946832127025
UKR,40407000000.0,70499000000.0,190741263731.535,15.776345092456745,1.50859618318574,23.800133991101326
URY,10238000000.0,12523000000.0,80961511073.5797,2.822328745721333,0.135430307724083,0.3822288505315653
USA,2065131000000.0,3359385000000.0,29184890000000.0,4.434671502959237,0.205249464599432,0.9102139516567418
UZB,19744000000.0,35238000000.0,114965293466.611,13.477110815621824,1.05002054744681,14.151243276620553
VCT,57000000.0,506000000.0,1157207407.40741,38.800304692650805,0.138312347775221,5.366561236434458
VNM,404824000000.0,380515000000.0,476388230307.175,-5.102770902699582,1.06180348658809,-5.418139935746672
VUT,61000000.0,570000000.0,1161251868.03498,43.832006992704144,0.322495016151412,14.135603803060928
WSM,42000000.0,489000000.0,1068025243.63929,41.85294333276712,0.328743529314037,13.758884303394257
ZAF,110076000000.0,123469000000.0,400260724226.067,3.3460689968760566,1.20319820271122,4.025984203189006
ZMB,11198000000.0,11194000000.0,26325775287.0226,-0.015194234382042367,0.404172737074949,-0.00614109529794836
ZWE,7432000000.0,9499000000.0,44187704410.1191,4.677771854395431,0.545116109992811,2.549928796701895
